"","type","fatalities","injuries","total"
"92","DOWNBURST WINDS",0,0,0
"93","DRIEST MONTH",0,0,0
"94","Drifting Snow",0,0,0
"98","DRY",0,0,0
"99","DRY CONDITIONS",0,0,0
"100","DRY HOT WEATHER",0,0,0
"102","DRY MICROBURST 50",0,0,0
"103","DRY MICROBURST 53",0,0,0
"104","DRY MICROBURST 58",0,0,0
"105","DRY MICROBURST 61",0,0,0
"106","DRY MICROBURST 84",0,0,0
"107","DRY MICROBURST WINDS",0,0,0
"109","DRY PATTERN",0,0,0
"110","DRY SPELL",0,0,0
"111","DRY WEATHER",0,0,0
"112","DRYNESS",0,0,0
"113","DUST DEVEL",0,0,0
"116","DUST DEVIL WATERSPOUT",0,0,0
"118","DUST STORM/HIGH WINDS",0,0,0
"119","DUSTSTORM",0,0,0
"120","EARLY FREEZE",0,0,0
"121","Early Frost",0,0,0
"122","EARLY FROST",0,0,0
"123","EARLY RAIN",0,0,0
"124","EARLY SNOW",0,0,0
"125","Early snowfall",0,0,0
"126","EARLY SNOWFALL",0,0,0
"127","Erosion/Cstl Flood",0,0,0
"128","EXCESSIVE",0,0,0
"129","Excessive Cold",0,0,0
"131","EXCESSIVE HEAT/DROUGHT",0,0,0
"132","EXCESSIVE PRECIPITATION",0,0,0
"133","EXCESSIVE RAIN",0,0,0
"136","EXCESSIVE WETNESS",0,0,0
"137","EXCESSIVELY DRY",0,0,0
"143","EXTREME WIND CHILL",0,0,0
"144","EXTREME WIND CHILL/BLOWING SNO",0,0,0
"145","EXTREME WIND CHILLS",0,0,0
"147","EXTREME WINDCHILL TEMPERATURES",0,0,0
"148","EXTREME/RECORD COLD",0,0,0
"149","EXTREMELY WET",0,0,0
"151","FIRST FROST",0,0,0
"152","FIRST SNOW",0,0,0
"154","FLASH FLOOD - HEAVY RAIN",0,0,0
"155","FLASH FLOOD FROM ICE JAMS",0,0,0
"156","FLASH FLOOD LANDSLIDES",0,0,0
"157","FLASH FLOOD WINDS",0,0,0
"158","FLASH FLOOD/",0,0,0
"159","FLASH FLOOD/ FLOOD",0,0,0
"160","FLASH FLOOD/ STREET",0,0,0
"162","FLASH FLOOD/HEAVY RAIN",0,0,0
"163","FLASH FLOOD/LANDSLIDE",0,0,0
"166","FLASH FLOODING/THUNDERSTORM WI",0,0,0
"168","FLASH FLOOODING",0,0,0
"169","Flood",0,0,0
"172","FLOOD FLASH",0,0,0
"173","FLOOD FLOOD/FLASH",0,0,0
"174","FLOOD WATCH/",0,0,0
"175","FLOOD/FLASH",0,0,0
"176","Flood/Flash Flood",0,0,0
"178","FLOOD/FLASH FLOODING",0,0,0
"179","FLOOD/FLASH/FLOOD",0,0,0
"180","FLOOD/FLASHFLOOD",0,0,0
"181","FLOOD/RAIN/WIND",0,0,0
"182","FLOOD/RAIN/WINDS",0,0,0
"184","Flood/Strong Wind",0,0,0
"186","FLOODING/HEAVY RAIN",0,0,0
"187","FLOODS",0,0,0
"190","FOREST FIRES",0,0,0
"191","Freeze",0,0,0
"193","Freezing drizzle",0,0,0
"194","Freezing Drizzle",0,0,0
"196","FREEZING DRIZZLE AND FREEZING",0,0,0
"197","Freezing Fog",0,0,0
"198","FREEZING FOG",0,0,0
"199","Freezing rain",0,0,0
"200","Freezing Rain",0,0,0
"202","FREEZING RAIN AND SLEET",0,0,0
"203","FREEZING RAIN AND SNOW",0,0,0
"204","FREEZING RAIN SLEET AND",0,0,0
"205","FREEZING RAIN SLEET AND LIGHT",0,0,0
"206","FREEZING RAIN/SLEET",0,0,0
"209","Frost",0,0,0
"211","Frost/Freeze",0,0,0
"212","FROST/FREEZE",0,0,0
"213","FROST\FREEZE",0,0,0
"214","FUNNEL",0,0,0
"215","Funnel Cloud",0,0,0
"217","FUNNEL CLOUD.",0,0,0
"218","FUNNEL CLOUD/HAIL",0,0,0
"219","FUNNEL CLOUDS",0,0,0
"220","FUNNELS",0,0,0
"221","Glaze",0,0,0
"223","GLAZE ICE",0,0,0
"225","gradient wind",0,0,0
"226","Gradient wind",0,0,0
"227","GRADIENT WIND",0,0,0
"228","GRADIENT WINDS",0,0,0
"229","GRASS FIRES",0,0,0
"230","GROUND BLIZZARD",0,0,0
"231","GUSTNADO",0,0,0
"232","GUSTNADO AND",0,0,0
"233","GUSTY LAKE WIND",0,0,0
"234","GUSTY THUNDERSTORM WIND",0,0,0
"235","GUSTY THUNDERSTORM WINDS",0,0,0
"236","Gusty Wind",0,0,0
"238","GUSTY WIND/HAIL",0,0,0
"239","GUSTY WIND/HVY RAIN",0,0,0
"240","Gusty wind/rain",0,0,0
"245","HAIL 0.75",0,0,0
"246","HAIL 0.88",0,0,0
"247","HAIL 075",0,0,0
"248","HAIL 088",0,0,0
"249","HAIL 1.00",0,0,0
"250","HAIL 1.75",0,0,0
"251","HAIL 1.75)",0,0,0
"252","HAIL 100",0,0,0
"253","HAIL 125",0,0,0
"254","HAIL 150",0,0,0
"255","HAIL 175",0,0,0
"256","HAIL 200",0,0,0
"257","HAIL 225",0,0,0
"258","HAIL 275",0,0,0
"259","HAIL 450",0,0,0
"260","HAIL 75",0,0,0
"261","HAIL 80",0,0,0
"262","HAIL 88",0,0,0
"263","HAIL ALOFT",0,0,0
"264","HAIL DAMAGE",0,0,0
"265","HAIL FLOODING",0,0,0
"266","HAIL STORM",0,0,0
"267","Hail(0.75)",0,0,0
"268","HAIL/ICY ROADS",0,0,0
"269","HAIL/WIND",0,0,0
"270","HAIL/WINDS",0,0,0
"271","HAILSTORM",0,0,0
"272","HAILSTORMS",0,0,0
"273","HARD FREEZE",0,0,0
"276","HEAT DROUGHT",0,0,0
"281","HEAT/DROUGHT",0,0,0
"282","Heatburst",0,0,0
"283","HEAVY LAKE SNOW",0,0,0
"284","HEAVY MIX",0,0,0
"285","HEAVY PRECIPATATION",0,0,0
"286","Heavy Precipitation",0,0,0
"287","HEAVY PRECIPITATION",0,0,0
"288","Heavy rain",0,0,0
"289","Heavy Rain",0,0,0
"291","HEAVY RAIN AND FLOOD",0,0,0
"292","Heavy Rain and Wind",0,0,0
"293","HEAVY RAIN EFFECTS",0,0,0
"294","HEAVY RAIN/FLOODING",0,0,0
"295","Heavy Rain/High Surf",0,0,0
"296","HEAVY RAIN/LIGHTNING",0,0,0
"297","HEAVY RAIN/MUDSLIDES/FLOOD",0,0,0
